component,status,lastScannedAt,lastSourceModifiedAt,lastEditedBy,lastEditedAt,lastEditedSourceFile,changedSinceLastScan,scanReason,skipReason,sourceFileCount,missingKnowledgeFileCount
"falcon-accordion","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.583+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/accordion.tokens.css","false","no prior metadata","",9,0
"falcon-avatar","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.583+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/avatar.tokens.css","false","no prior metadata","",8,0
"falcon-badge","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.584+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/badge.tokens.css","false","no prior metadata","",8,0
"falcon-button","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.584+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/button.tokens.css","false","no prior metadata","",9,0
"falcon-calendar","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.584+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/calendar.tokens.css","false","no prior metadata","",9,0
"falcon-calendar-legacy","scanned","2026-05-13T20:37:42.393+03:00","","","","","false","no prior metadata","",0,0
"falcon-card","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.585+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/card.tokens.css","false","no prior metadata","",8,0
"falcon-checkbox","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.585+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/checkbox.tokens.css","false","no prior metadata","",9,0
"falcon-checkbox-group","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.585+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:47:37+03:00","libs/falcon-ui-core/src/components/falcon-checkbox-group-tw/falcon-checkbox-group-tw.tsx","false","no prior metadata","",8,0
"falcon-combobox","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.586+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/combobox.tokens.css","false","no prior metadata","",8,0
"falcon-confirm-dialog","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.586+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/confirm-dialog.tokens.css","false","no prior metadata","",8,0
"falcon-data-table","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.586+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-12T21:40:27+03:00","libs/falcon-ui-tokens/src/components/data-table.tokens.css","false","no prior metadata","",6,0
"falcon-date-picker","scanned","2026-05-13T20:37:42.393+03:00","2026-05-13T19:23:48.277+03:00","AmmarMK <a.sukkariyeh@t2.sa>","2026-05-11T20:16:04+03:00","libs/falcon-ui-core/src/angular-wrapper/components/falcon-date-picker/falcon-date-picker.component.ts","false","no prior metadata","",6,0
